Country,Sex-disaggregated?,Date,Total cases,Cases (% male),Cases (% female),Total deaths,deaths (% male),deaths (% female),Proportion of deaths in confirmed cases (total),Proportion of deaths in confirmed cases (male),Proportion of deaths in confirmed cases (female),Proportion of deaths in confirmed cases (Male:female ratio),Sources
Japan,Partial,21.06.2020,"17,256",55,45,,,,,,,,Source
Malaysia,Partial,22.06.2020,,,,121,76,24,,,,,Source
Poland,Partial,24.06.2020,,,,"1,395",51,49,,,,,Source
Russia,No,,,,,,,,,,,,Source
Saudi Arabia,Partial,26.05.2020,"76,726",75,25,,,,,,,,Source
Turkey,No,,,,,,,,,,,,Source
USA,Partial,17.06.2020,,,,"103,337",54,46,,,,,Source
India,Partial,30.04.2020,,,,"1,075",64,36,,,,,Source
Singapore,Partial,05.05.2020,"6,530",89,11,,,,,,,,Source
Qatar,Partial,28.04.2020,"12,156",91,9,,,,,,,,Source
Belarus,No,,,,,,,,,,,,Source
Panama,Partial,22.06.2020,"26,752",57,43,,,,,,,,Source
Egypt,No,,,,,,,,,,,,Source
UAE,No,,,,,,,,,,,,Source
Serbia,Partial,06.05.2020,,,,193,62,38,,,,,Source
Hungary,Partial,24.06.2020,,,,573,49,51,,,,,Source
Moldova,Partial,24.06.2020,"14,714",41,59,,,,,,,,Source
Algeria,Partial,22.06.2020,"11,920",55,45,,,,,,,,Source
Morocco,No,,,,,,,,,,,,Source
Cameroon,No,,,,,,,,,,,,Source
Oman,No,,,,,,,,,,,,Source
Croatia,Partial,22.06.2020,"2,336",47,53,,,,,,,,Source
Uzbekistan,No,,,,,,,,,,,,Source
Armenia,Partial,23.06.2020,,,,372,59,41,,,,,Source
Iceland,Partial,21.06.2020,"1,823",50,50,,,,,,,,Source
Iraq,No,,,,,,,,,,,,Source
Nigeria,Partial,09.06.2020,"13,464",68,32,,,,,,,,Source
Azerbaijan,Partial,21.06.2020,"13,207",46,54,,,,,,,,Source
Ghana,Partial,23.06.2020,"14,568",57,43,,,,,,,,Source
Bahrain,Partial,10.06.2020,"5,873",88,12,,,,,,,,Source
Kazakhstan,Partial,08.06.2020,"9,452",61,39,,,,,,,,Source
Kuwait,No,,,,,,,,,,,,Source
New Zealand,Partial,24.06.2020,"1,515",44,56,,,,,,,,Source
Bolivia,No,,,,,,,,,,,,Source
Cuba,Partial,24.06.2020,"2,319",51,49,,,,,,,,Source
Guinea,No,,,,,,,,,,,,Source
Honduras,Partial,22.06.2020,"13,355",56,44,,,,,,,,Source
Sudan,No,,,,,,,,,,,,Source
Senegal,Partial,20.05.2020,736,52,48,,,,,,,,Source
Ivory Coast,No,,,,,,,,,,,,Source
Bulgaria,Partial,25.05.2020,"2,443",49,51,,,,,,,,Source
Wales,Partial,08.06.2020,"14,448",36,64,,,,,,,,Source
Djibouti,Partial,02.06.2020,"3,779",68,32,,,,,,,,Source
DRC,No,,,,,,,,,,,,Source
Gabon,No,,,,,,,,,,,,Source
El Salvador,Partial,22.06.2020,"4,973",64,36,,,,,,,,Source
Somalia,Partial,23.06.2020,"2,812",73,27,,,,,,,,Source
Lithuania,Partial,23.06.2020,"1,803",42,58,,,,,,,,Source
Slovakia,Partial,28.05.2020,"1,491",50,50,,,,,,,,Source
Sri Lanka,No,,,,,,,,,,,,Source
Guinea-Bissau,No,,,,,,,,,,,,Source
Venezuela,Partial,22.06.2020,"4,048",56,44,,,,,,,,Source
Tajikistan,No,,,,,,,,,,,,Source
Guatemala,Partial,22.06.2020,"13,769",61,39,,,,,,,,Source
Nepal,Partial,22.06.2020,"9,561",91,9,,,,,,,,Source
Mali,No,,,,,,,,,,,,Source
Central Africal Republic,Partial,21.06.2020,"2,963",74,26,,,,,,,,Source
Ethiopia,Partial,22.06.2020,"4,848",62,38,,,,,,,,Source
Lebanon,Partial,23.06.2020,"1,621",57,43,,,,,,,,Source
Paraguay,Partial,22.06.2020,"1,392",67,33,,,,,,,,Source
South Sudan,No,,,,,,,,,,,,Source
Zambia,No,,,,,,,,,,,,Source
Hong Kong,Partial,23.06.2020,"1,178",54,46,,,,,,,,Source
Tunisia,Partial,22.06.2020,,,,,,,,,,,Source
Nicaragua,No,,,,,,,,,,,,Source
Palestine,No,,,,,,,,,,,,Source
Cabo Verde,Partial,22.06.2020,944,47,53,,,,,,,,Source
Jordan,No,,,,,,,,,,,,Source
Cyprus,Partial,23.06.2020,990,50,50,,,,,,,,Source
Georgia,No,,,,,,,,,,,,Source
Uruguay,No,,,,,,,,,,,,Source
Bhutan,Partial,22.06.2020,69,45,55,,,,,,,,Source
Rwanda,Partial,23.06.2020,798,77,23,,,,,,,,Source
Congo,No,,,,,,,,,,,,Source
Equatorial Guinea,No,,,,,,,,,,,,Source
