Country,Sex-disaggregated?,Date,Cases,Cases (% male),Cases (% female),Deaths,deaths (% male),deaths (% female),Deaths among confirmed cases (male),Deaths in confirmed cases (female),Deaths in confirmed cases (Male:female ratio),Sources
Thailand,Yes,16.05.2020,"3,025",54,46,56,77,23,2.60%,0.90%,2.8,Source
Dominican Republic,Yes,17.05.2020,"12,725",54,46,434,72,28,4.50%,2.10%,2.2,Source
Greece,Yes,19.05.2020,"2,632",55,45,165,72,28,8.10%,4.00%,2.1,Source
The Netherlands,Yes,19.05.2020,"44,196",37,63,"5,715",55,45,19.50%,9.10%,2.1,Source
Belgium,Yes,18.05.2020,"55,564",37,63,"6,475",51,49,16.00%,9.10%,1.8,Source
Denmark,Yes,19.05.2020,"11,044",42,58,551,57,43,6.70%,3.70%,1.8,Source
Italy,Yes,14.05.2020,"221,895",46,54,"29,692",60,40,17.40%,9.90%,1.8,Source
Romania,Yes,17.05.2020,"16,911",45,55,"1,107",60,40,8.80%,4.80%,1.8,Source
Spain,Yes,18.05.2020,"238,892",43,57,"19,186",57,43,10.60%,6.10%,1.8,Source
South Africa,Yes,18.05.2020,"16,244",42,58,286,56,44,2.30%,1.30%,1.8,Source
Bosnia and Herzegovina,Yes,13.05.2020,994,45,55,37,59,41,4.90%,2.80%,1.8,Source
China,Yes,28.02.2020,"55,924",51,49,"2,114",64,36,4.70%,2.80%,1.7,Source
Sweden,Yes,19.05.2020,"30,799",42,58,"3,743",55,45,16.10%,9.30%,1.7,Source
Peru,Yes,18.05.2020,"94,933",60,40,"2,789",71,29,3.50%,2.10%,1.7,Source
Northern Ireland,Yes,19.05.2020,"4,415",39,61,488,52,48,14.70%,8.70%,1.7,Source
England,Yes,12.05.2020,"137,090",46,54,"29,654",59,41,27.60%,16.40%,1.7,Source
Ecuador,Yes,19.05.2020,"25,195",56,44,"2,839",66,34,13.40%,8.60%,1.6,Source
South Korea,Yes,19.05.2020,"11,078",41,59,263,52,48,3.00%,1.90%,1.6,Source
Switzerland,Yes,19.05.2020,"30,590",46,54,"1,614",58,42,6.70%,4.10%,1.6,Source
Mexico,Yes,18.05.2020,"51,633",58,42,"5,332",68,32,12.20%,7.80%,1.6,Source
Scotland,Yes,18.05.2020,"14,586",39,61,"3,546",51,49,31.80%,19.60%,1.6,Source
Ukraine,Yes,28.04.2020,"9,410",44,56,239,55,45,3.20%,2.00%,1.6,Source
Czech Republic,Yes,19.05.2020,"8,362",48,52,301,58,42,4.30%,2.90%,1.5,Source
Philippines,Yes,18.05.2020,"12,718",54,46,831,65,35,7.80%,5.10%,1.5,Source
Argentina,Yes,18.05.2020,"8,068",51,49,374,60,40,5.50%,3.80%,1.5,Source
Austria,Yes,19.05.2020,"16,268",49,51,632,57,43,4.50%,3.30%,1.4,Source
Germany,Yes,18.05.2020,"174,697",48,52,"7,935",56,44,5.20%,3.90%,1.4,Source
Indonesia,Yes,19.05.2020,"18,496",56,44,"1,221",64,36,7.50%,5.40%,1.4,Source
Republic of Ireland,Yes,06.05.2020,"22,237",43,57,"1,336",51,49,7.20%,5.10%,1.4,Source
