Country,Sex-disaggregated?,Date,Total cases,Cases (% male),Cases (% female),Total deaths,deaths (% male),deaths (% female),Proportion of deaths in confirmed cases (total),Proportion of deaths in confirmed cases (male),Proportion of deaths in confirmed cases (female),Proportion of deaths in confirmed cases (Male:female ratio),Sources
Israel,Partial,05.05.2020,,,,238,52,48,,,,,Source
Japan,Partial,03.06.2020,"16,335",55,45,,,,,,,,Source
Malaysia,Partial,02.06.2020,,,,115,77,23,,,,,Source
Poland,Partial,03.06.2020,,,,"1,113",51,49,,,,,Source
Russia,No,,,,,,,,,,,,Source
Saudi Arabia,Partial,26.05.2020,"76,726",75,25,,,,,,,,Source
Turkey,No,,,,,,,,,,,,Source
USA,Partial,28.05.2020,,,,"81,371",54,46,,,,,Source
India,Partial,30.04.2020,,,,"1,075",64,36,,,,,Source
Singapore,Partial,05.05.2020,"6,530",89,11,,,,,,,,Source
Qatar,Partial,28.04.2020,"12,156",91,9,,,,,,,,Source
Belarus,No,,,,,,,,,,,,Source
Panama,Partial,01.06.2020,"13,463",59,41,,,,,,,,Source
Egypt,No,,,,,,,,,,,,Source
UAE,No,,,,,,,,,,,,Source
Serbia,Partial,06.05.2020,,,,193,62,38,,,,,Source
Hungary,Partial,02.06.2020,,,,532,49,51,,,,,Source
Moldova,Partial,03.06.2020,"8,548",41,59,,,,,,,,Source
Algeria,Partial,01.06.2020,"9,513",55,45,,,,,,,,Source
Morocco,No,,,,,,,,,,,,Source
Cameroon,No,,,,,,,,,,,,Source
Oman,No,,,,,,,,,,,,Source
Croatia,Partial,29.05.2020,"2,246",46,54,,,,,,,,Source
Uzbekistan,No,,,,,,,,,,,,Source
Armenia,Partial,02.06.2020,,,,158,61,39,,,,,Source
Iceland,Partial,01.06.2020,"1,805",50,50,,,,,,,,Source
Afghanistan,No,,,,,,,,,,,,Source
Iraq,No,,,,,,,,,,,,Source
Nigeria,Partial,01.06.2020,"10,578",67,33,,,,,,,,Source
Azerbaijan,Partial,29.05.2020,"4,989",46,54,,,,,,,,Source
Ghana,Partial,03.06.2020,"8,297",60,40,,,,,,,,Source
Bahrain,Partial,04.06.2020,"3,464",86,14,,,,,,,,Source
Kazakhstan,Partial,02.06.2020,"9,450",61,39,,,,,,,,Source
Kuwait,No,,,,,,,,,,,,Source
North Macedonia,Partial,27.05.2020,"1,941",49,51,,,,,,,,Source
New Zealand,Partial,03.06.2020,"1,504",44,56,,,,,,,,Source
Bolivia,No,,,,,,,,,,,,Source
Cuba,No,,,,,,,,,,,,Source
Guinea,No,,,,,,,,,,,,Source
Honduras,Partial,01.06.2020,"5,202",58,42,,,,,,,,Source
Sudan,No,,,,,,,,,,,,Source
Senegal,Partial,20.05.2020,736,52,48,,,,,,,,Source
Ivory Coast,No,,,,,,,,,,,,Source
Bulgaria,Partial,25.05.2020,"2,443",49,51,,,,,,,,Source
Wales,Partial,01.06.2020,"14,089",36,64,,,,,,,,Source
Djibouti,Partial,17.05.2020,"1,112",78,22,,,,,,,,Source
DRC,No,,,,,,,,,,,,Source
Gabon,No,,,,,,,,,,,,Source
El Salvador,Partial,01.06.2020,"2,653",68,32,,,,,,,,Source
Somalia,Partial,02.06.2020,"2,089",73,27,,,,,,,,Source
Lithuania,Partial,04.06.2020,"1,687",41,59,,,,,,,,Source
Slovakia,Partial,28.05.2020,"1,491",50,50,,,,,,,,Source
Kenya,Partial,01.06.2020,"1,809",64,36,,,,,,,,Source
Sri Lanka,No,,,,,,,,,,,,Source
Guinea-Bissau,No,,,,,,,,,,,,Source
Venezuela,Partial,01.06.2020,"1,662",54,46,,,,,,,,Source
Tajikistan,No,,,,,,,,,,,,Source
Guatemala,Partial,01.06.2020,"5,336",60,40,,,,,,,,Source
Nepal,Partial,31.05.2020,"1,572",92,8,,,,,,,,Source
Haiti,Partial,31.05.2020,"2,226",59,41,,,,,,,,Source
Mali,No,,,,,,,,,,,,Source
